EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Salary,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,WorkLifeBalance,Overtime,DistanceFromHome,TrainingTimesLastYear,PerformanceRating,NumCompaniesWorked,StockOptionLevel,TotalWorkingYears,JobInvolvement,Education,EnvironmentSatisfaction,MonthlyIncome,JobLevel,YearsSinceLastPromotion,YearsWithCurrManager,HourlyRate,DailyRate,MonthlyRate,Attrition
186,30,Male,Divorced,HR,Analyst,106384,30,4,3,4,No,1,9,4,1,0,35,3,PhD,2,19150,3,10,16,67,1877,21330,No
187,27,Male,Married,Finance,Manager,85755,33,11,4,1,Yes,19,8,1,4,2,36,2,High School,3,8578,3,3,10,70,1619,18472,No
188,37,Female,Married,Finance,Executive,43255,10,12,3,4,Yes,46,3,3,3,2,20,4,Master's,4,9729,1,14,14,55,1071,16241,Yes
189,50,Male,Married,HR,Engineer,34567,37,5,1,2,No,49,2,4,4,2,3,2,High School,4,9961,3,11,19,10,461,20934,No
190,24,Female,Single,Sales,Manager,78847,12,16,2,2,No,22,1,4,5,2,8,1,Master's,3,14171,2,14,15,34,895,13006,No
191,41,Female,Single,Finance,Manager,134817,30,13,4,4,No,14,8,4,4,1,32,1,High School,2,16947,4,7,2,70,531,24521,Yes
192,57,Female,Divorced,IT,Executive,78003,27,13,1,2,No,49,1,4,2,0,29,4,Bachelor's,4,4957,1,11,5,90,774,8357,Yes
193,40,Male,Divorced,HR,Analyst,50389,39,17,1,3,No,14,5,2,1,2,7,1,Bachelor's,2,16300,4,9,12,23,1643,3445,No
194,47,Male,Single,Operations,Manager,74523,9,7,2,3,Yes,44,4,2,5,0,2,4,High School,2,7441,3,8,0,54,958,23005,Yes
195,24,Male,Divorced,Sales,Engineer,91576,21,8,1,2,Yes,16,4,3,3,1,21,4,Bachelor's,4,16011,3,0,13,86,1529,8335,Yes
196,40,Male,Single,HR,Manager,73919,12,13,1,4,No,33,3,3,1,0,6,2,High School,1,4101,1,2,1,48,1113,20214,No
197,41,Female,Married,Operations,Engineer,112103,29,16,4,1,No,13,5,4,1,0,28,4,High School,1,12229,3,11,1,75,1500,29317,Yes
198,53,Male,Married,Operations,Clerk,33358,33,4,4,4,Yes,38,4,4,2,2,36,1,PhD,2,16615,4,3,14,41,1275,25169,No
199,28,Male,Divorced,Finance,Clerk,118535,15,8,4,1,No,49,3,4,2,2,32,3,PhD,4,17732,2,12,17,67,1445,25775,No
200,54,Female,Single,Finance,Engineer,137894,2,16,3,4,Yes,12,8,3,2,1,9,3,Bachelor's,1,15366,1,6,8,65,1730,18938,Yes
201,39,Male,Single,Finance,Analyst,106524,39,10,2,2,Yes,38,5,4,5,0,11,1,PhD,3,12970,3,5,2,15,1337,13956,No
202,22,Female,Divorced,HR,Manager,135982,18,12,4,3,Yes,39,9,1,4,2,23,3,PhD,2,15992,4,9,3,98,675,20818,No
203,32,Female,Single,HR,Manager,127057,3,12,3,4,Yes,33,9,3,1,2,11,3,High School,1,3981,2,9,14,76,1188,27256,No
204,49,Female,Married,Sales,Clerk,35698,7,5,3,1,No,33,9,1,4,2,2,4,Master's,4,19130,3,10,4,91,992,8919,No
205,46,Female,Divorced,Finance,Engineer,96809,18,16,2,3,No,29,2,4,4,1,3,3,High School,4,11566,1,0,19,59,369,7593,No
206,44,Female,Divorced,Operations,Manager,123079,38,1,2,1,Yes,5,9,2,2,0,11,3,PhD,2,9349,3,3,19,47,1660,28207,Yes
207,52,Female,Single,IT,Manager,85805,37,9,1,2,No,6,5,1,4,2,35,3,High School,4,13728,3,5,4,12,1223,18586,Yes
208,51,Female,Divorced,Sales,Analyst,61349,33,12,3,3,No,31,0,3,1,0,15,2,Bachelor's,3,10548,3,2,9,14,1228,9153,No
209,56,Female,Single,HR,Executive,106777,31,5,4,1,No,16,4,1,1,1,11,1,Master's,3,6446,2,14,15,33,1254,6542,No
210,28,Male,Single,Sales,Clerk,80248,11,3,2,4,No,31,9,3,3,0,31,4,PhD,1,15820,2,1,11,63,1512,18192,Yes
211,37,Male,Single,Sales,Clerk,105033,4,5,3,2,Yes,25,5,4,5,2,28,3,PhD,4,5872,3,1,13,43,1444,29715,No
212,47,Male,Single,Sales,Executive,137411,18,2,4,2,No,48,7,1,4,0,28,1,High School,3,12368,3,9,10,48,537,15403,No
213,23,Male,Single,Sales,Manager,128239,4,14,3,2,Yes,46,8,2,5,0,32,3,High School,2,4335,1,11,18,97,1142,15065,No
214,22,Female,Divorced,IT,Analyst,74041,34,2,2,4,Yes,33,2,1,5,1,25,2,High School,4,8413,3,11,5,57,324,26394,Yes
215,33,Male,Married,Finance,Analyst,61954,29,13,1,4,No,13,1,2,5,1,20,2,High School,1,19496,4,3,9,58,1741,28801,No
216,26,Female,Married,Operations,Clerk,38002,24,7,3,3,Yes,10,3,3,5,0,28,3,PhD,2,16423,4,12,19,43,1689,11878,Yes
217,58,Male,Divorced,Sales,Analyst,99783,22,10,4,4,No,24,7,4,1,0,25,3,High School,2,8294,1,0,2,89,1089,2828,No
218,53,Male,Divorced,Sales,Executive,137524,2,13,2,3,No,10,7,4,4,0,11,3,PhD,2,13037,2,14,14,16,559,9170,No
219,30,Male,Married,Sales,Manager,117234,6,16,1,2,Yes,41,2,2,3,1,19,2,High School,3,4987,3,9,10,27,493,20406,Yes
220,56,Female,Married,Finance,Executive,49738,25,14,4,3,No,31,3,3,5,1,28,2,Master's,2,7829,1,1,1,79,1349,26678,Yes
221,40,Male,Married,HR,Engineer,40703,21,11,4,1,Yes,13,2,4,3,0,1,1,Master's,3,14434,2,12,5,43,1011,11749,No
222,37,Female,Married,HR,Clerk,143776,16,10,4,2,Yes,3,9,3,1,1,5,4,High School,2,17548,1,9,16,60,1483,22595,No
223,24,Female,Married,IT,Analyst,79422,31,6,3,2,No,34,1,2,1,2,10,4,High School,3,19636,2,14,17,77,1553,23338,No
224,41,Male,Single,HR,Engineer,113106,14,4,2,3,No,49,3,2,2,1,34,2,Bachelor's,4,12428,3,1,3,23,114,22471,Yes
225,45,Male,Divorced,Sales,Analyst,91899,39,1,4,2,No,28,5,1,5,1,36,4,Master's,3,6156,1,3,8,78,659,29087,No
226,54,Male,Single,Sales,Manager,42392,28,7,3,4,Yes,19,4,4,2,1,2,3,PhD,3,14328,3,3,9,98,1774,26679,Yes
227,45,Female,Married,Sales,Manager,74724,32,9,2,1,No,23,2,4,3,2,18,1,Master's,4,6389,1,0,1,17,1103,15216,No
228,32,Male,Married,IT,Manager,62299,28,8,2,3,Yes,45,1,1,4,2,13,2,PhD,2,12458,2,6,10,24,1669,13049,No
229,29,Female,Married,Sales,Analyst,45641,9,5,3,3,Yes,32,8,2,2,2,5,2,High School,4,5945,1,6,10,92,513,8785,No
230,57,Female,Single,HR,Engineer,109534,22,19,3,2,No,13,0,2,1,0,20,4,Master's,2,12352,4,9,10,68,1478,10998,No
231,59,Male,Single,Finance,Manager,36305,32,10,4,4,No,33,8,2,5,0,2,3,Master's,3,13486,4,10,0,20,1580,25550,No
232,41,Male,Married,Finance,Engineer,128262,5,11,2,2,No,34,0,2,3,2,11,1,Bachelor's,2,11632,1,9,13,29,1845,6655,No
233,56,Female,Single,Operations,Analyst,48782,23,15,1,2,Yes,33,6,3,1,0,30,4,Bachelor's,3,5092,4,9,0,64,1654,20458,No
234,46,Female,Single,HR,Engineer,108257,5,6,3,3,No,5,5,4,4,0,32,2,Master's,2,6759,3,0,8,45,1098,27102,Yes
235,56,Female,Married,Sales,Analyst,135299,32,15,2,2,Yes,3,6,4,5,0,32,2,Master's,3,8112,4,10,0,91,1319,8918,No
236,46,Male,Single,Finance,Analyst,107963,10,5,2,1,No,7,2,2,4,2,38,4,Master's,3,19937,4,7,3,23,1961,5436,No
237,50,Female,Divorced,HR,Clerk,142086,39,19,4,2,No,24,2,2,4,1,28,3,PhD,1,7904,3,9,0,67,214,23432,No
238,39,Male,Divorced,Finance,Analyst,50566,15,19,1,2,Yes,22,0,2,5,2,10,1,High School,2,16258,3,13,18,47,1540,26873,No
239,39,Female,Divorced,Sales,Analyst,97766,7,10,4,3,Yes,45,3,4,5,2,22,1,Bachelor's,2,4112,2,13,9,98,1475,6872,Yes
240,23,Female,Divorced,Finance,Executive,36511,29,12,1,2,No,23,1,4,4,0,17,1,High School,1,5777,3,6,14,89,1075,2360,Yes
241,56,Male,Married,Operations,Manager,144816,3,4,1,4,No,30,9,2,3,0,22,1,Bachelor's,3,18587,1,6,19,91,1198,13909,No
242,37,Female,Married,Operations,Clerk,137765,19,18,3,3,No,18,7,3,5,1,19,3,Bachelor's,3,13025,4,10,3,10,1785,6599,No
243,57,Male,Married,Finance,Clerk,148360,10,16,2,2,No,32,2,1,1,1,17,2,Bachelor's,1,4314,2,5,19,74,135,12168,Yes
244,54,Male,Divorced,HR,Clerk,56177,28,8,2,1,No,7,6,1,2,1,24,2,Master's,1,16562,3,11,13,10,341,8731,Yes
245,25,Female,Divorced,HR,Executive,34765,29,4,2,1,Yes,33,6,1,3,1,36,1,Bachelor's,4,14304,4,3,4,94,1786,4077,Yes
246,54,Male,Single,HR,Analyst,50354,15,12,1,3,Yes,5,8,4,5,2,32,1,High School,3,10015,1,10,14,69,162,15750,No
247,35,Male,Single,Finance,Manager,53929,35,2,2,3,Yes,49,5,4,5,1,36,1,Bachelor's,4,15117,1,7,14,34,765,29987,Yes
248,42,Female,Divorced,HR,Engineer,58820,6,4,3,2,Yes,28,0,1,3,2,28,4,High School,2,8710,2,1,15,19,608,20557,Yes
249,41,Male,Divorced,Sales,Analyst,141576,12,5,1,4,No,8,7,1,2,0,14,4,Bachelor's,4,15588,1,6,15,59,287,6691,No
250,29,Male,Divorced,Operations,Executive,59523,38,3,1,2,Yes,15,0,3,4,1,36,2,Bachelor's,1,18436,4,2,3,21,834,28165,No
251,28,Male,Divorced,Sales,Analyst,101088,13,9,1,1,Yes,4,2,4,1,0,6,2,Master's,1,18196,3,13,8,41,192,19773,No
252,24,Female,Single,HR,Analyst,96163,29,18,1,4,Yes,34,4,4,5,0,9,1,High School,1,19901,1,2,0,42,104,26346,Yes
253,38,Male,Divorced,Sales,Executive,107525,19,11,3,4,No,5,7,1,2,2,21,4,Bachelor's,1,5506,3,13,4,81,1561,24355,Yes
254,54,Female,Single,HR,Clerk,43780,3,3,2,4,Yes,33,8,3,1,1,12,3,Bachelor's,4,15072,4,6,8,35,1289,5514,Yes
255,33,Female,Divorced,Finance,Clerk,36589,8,2,3,2,No,5,6,3,3,2,30,4,High School,4,19136,4,11,19,51,1569,26838,Yes
256,43,Male,Divorced,Sales,Manager,64812,8,9,2,1,Yes,38,8,1,5,0,31,2,Bachelor's,4,17343,3,2,4,59,124,29559,No
257,43,Male,Divorced,Finance,Manager,123664,20,14,3,3,No,34,2,1,4,1,4,4,PhD,1,8479,4,14,3,70,607,4919,Yes
258,51,Male,Single,Finance,Clerk,75939,4,4,4,2,Yes,26,4,4,3,0,31,2,Master's,1,13434,2,14,15,50,197,28439,No
259,59,Female,Single,IT,Engineer,81493,21,9,4,3,No,1,9,1,5,0,27,1,High School,3,6090,1,4,1,66,1391,18385,Yes
260,59,Male,Married,HR,Analyst,134188,3,13,4,4,Yes,4,7,2,2,1,25,3,Master's,3,9497,2,7,15,11,761,20317,Yes
261,29,Male,Divorced,Operations,Engineer,123326,8,18,4,4,No,39,0,3,1,1,5,1,PhD,1,17691,2,13,17,79,1516,2393,Yes
262,48,Male,Married,HR,Analyst,70953,23,15,1,2,No,26,7,1,1,1,6,1,PhD,3,9993,2,12,1,40,1887,26881,No
263,48,Male,Married,Operations,Clerk,95785,16,10,1,1,Yes,33,6,2,5,2,5,3,PhD,2,3973,3,3,15,32,1719,15457,Yes
264,55,Male,Single,HR,Manager,49309,13,16,3,4,No,33,0,3,3,2,27,3,High School,2,11257,3,6,0,85,1408,2529,No
265,42,Female,Single,Finance,Manager,84195,3,12,3,3,No,8,9,2,4,0,8,3,PhD,1,9092,4,6,15,63,783,23007,No
266,51,Female,Married,Sales,Engineer,145662,9,5,4,3,Yes,20,9,2,2,1,9,2,High School,4,5906,3,1,2,37,1856,29955,No
267,54,Male,Divorced,Sales,Manager,55901,14,2,2,2,Yes,16,5,1,5,0,15,1,High School,2,3570,4,13,14,88,1232,27540,No
268,49,Male,Single,IT,Clerk,53576,13,10,4,3,No,21,0,3,2,0,36,2,Bachelor's,2,15084,3,7,10,28,126,14211,Yes
269,54,Male,Divorced,Operations,Engineer,61508,7,1,3,1,Yes,45,1,2,1,0,7,3,High School,4,3307,4,9,9,85,1881,27246,Yes
270,26,Male,Divorced,Operations,Analyst,104711,15,7,4,4,Yes,26,4,4,4,0,32,2,PhD,3,6742,1,11,16,57,154,22452,No
271,40,Female,Married,Operations,Manager,55464,7,17,3,3,Yes,23,1,3,2,0,8,3,High School,4,11974,4,9,3,11,1256,25891,No
272,25,Male,Married,Finance,Executive,90281,38,16,4,3,No,18,9,4,5,1,15,4,High School,3,3765,1,14,16,20,1175,8495,Yes
273,56,Female,Married,Operations,Manager,46260,34,3,2,4,No,31,0,1,4,2,37,3,Master's,3,11964,4,13,3,53,1616,8953,Yes
274,38,Female,Married,Sales,Analyst,65440,22,14,4,2,No,42,5,4,3,1,19,1,PhD,4,10735,3,8,18,68,1888,23437,No
275,49,Male,Single,Finance,Engineer,125082,24,10,2,3,No,12,7,3,5,1,39,1,High School,3,19202,3,5,0,68,880,28828,Yes
276,51,Female,Single,HR,Analyst,135583,37,7,2,2,No,1,7,2,2,1,6,1,Bachelor's,2,17431,1,13,13,47,397,21056,Yes
277,50,Female,Married,Operations,Executive,86683,1,17,3,2,No,42,7,2,4,2,19,2,High School,1,14377,2,4,10,34,1522,3713,Yes
278,27,Female,Single,Operations,Clerk,71430,10,6,2,3,No,9,5,3,5,2,28,1,High School,3,16274,2,0,6,30,1714,22428,No
279,56,Female,Married,HR,Manager,31987,16,4,1,1,Yes,3,2,2,4,2,17,3,Master's,2,17297,4,0,16,51,1141,2635,No
280,58,Male,Divorced,Operations,Engineer,144778,8,17,1,2,No,26,0,4,4,1,19,4,PhD,4,11036,3,8,3,45,917,23518,No
281,45,Male,Divorced,HR,Clerk,55105,25,9,1,3,No,9,1,2,4,2,31,1,PhD,3,10596,2,13,9,18,1893,17193,No
282,50,Female,Divorced,Finance,Analyst,108484,12,4,3,2,Yes,42,4,2,2,0,11,2,Bachelor's,2,19923,3,3,16,21,954,25003,No
283,52,Male,Married,Sales,Engineer,148747,25,7,1,4,Yes,16,9,4,5,2,15,4,Bachelor's,3,5049,3,0,3,19,1742,16633,Yes
284,56,Male,Divorced,HR,Clerk,43026,17,2,3,1,Yes,24,4,4,1,1,10,1,Bachelor's,4,7675,3,10,18,68,658,11309,Yes
285,54,Male,Single,IT,Engineer,98309,26,17,3,1,No,14,9,4,1,1,23,1,High School,1,4663,4,9,17,14,1369,28730,Yes
286,42,Male,Divorced,HR,Executive,75927,14,8,1,4,Yes,3,0,1,2,0,3,4,High School,3,9476,1,11,16,42,602,17778,No
287,53,Male,Divorced,Operations,Executive,105414,36,15,2,4,No,34,0,4,2,2,3,1,Bachelor's,1,15028,4,2,5,78,1212,9445,Yes
288,44,Female,Divorced,Finance,Manager,87535,23,15,4,2,No,33,8,4,4,2,18,2,PhD,3,18077,2,5,6,89,302,14415,No
289,54,Male,Single,Finance,Manager,72946,6,8,3,4,No,24,1,1,5,0,25,3,PhD,3,10143,1,13,5,72,1045,16281,No
290,24,Male,Married,HR,Executive,86561,5,16,1,1,Yes,9,6,2,5,1,20,3,Bachelor's,4,4910,2,10,11,38,339,8602,No
291,39,Male,Single,Sales,Engineer,40377,25,19,3,4,Yes,13,9,4,3,1,29,4,Master's,3,3732,1,12,8,27,589,2037,No
292,46,Male,Married,IT,Executive,83592,18,11,2,3,No,2,3,3,3,2,22,3,PhD,2,7609,1,12,17,15,1903,11824,No
293,52,Female,Married,Finance,Manager,37347,13,2,2,3,No,7,6,4,1,2,15,1,PhD,2,14134,4,10,1,62,1136,5775,No
294,24,Female,Divorced,Operations,Executive,63776,14,17,1,2,No,48,7,4,3,2,39,1,Bachelor's,1,7456,3,7,16,91,748,28630,Yes
295,45,Female,Married,Operations,Executive,33783,28,16,3,1,Yes,21,4,1,3,2,10,2,PhD,1,17512,3,12,0,41,1438,22469,No
296,53,Female,Single,Sales,Engineer,85798,18,15,4,3,No,19,0,3,1,2,21,3,High School,2,6335,1,9,8,51,784,29979,Yes
297,43,Male,Single,Finance,Clerk,34298,28,13,4,4,Yes,25,3,2,1,1,29,4,High School,1,18545,4,1,5,56,1865,27094,No
298,44,Female,Married,HR,Manager,100204,27,15,3,3,No,47,9,2,3,1,32,1,PhD,1,15814,2,7,1,40,1321,28817,Yes
299,23,Male,Divorced,Operations,Engineer,116207,32,4,3,3,Yes,22,2,3,5,1,10,4,High School,2,10056,2,13,5,71,342,12555,No
300,48,Male,Divorced,Sales,Executive,130356,9,16,3,2,No,11,9,4,3,1,13,1,Master's,2,5753,3,12,8,65,606,7120,No
301,23,Male,Single,Finance,Executive,85161,32,12,1,4,Yes,33,4,1,4,0,23,1,PhD,2,4372,3,0,2,20,1166,16678,Yes
302,47,Male,Divorced,Finance,Clerk,90652,20,4,2,4,Yes,32,9,3,4,1,23,2,Bachelor's,4,17234,2,10,15,35,1453,25128,No
303,38,Male,Married,Finance,Manager,64484,28,3,4,4,Yes,21,9,3,4,0,31,3,High School,4,12636,2,1,14,36,1914,19425,No
304,54,Female,Married,Finance,Manager,128614,33,17,1,2,Yes,39,5,2,2,1,4,2,Master's,2,6376,4,7,11,92,1714,6715,Yes
305,30,Female,Single,Finance,Analyst,142695,4,18,3,4,Yes,20,1,1,4,2,3,3,Master's,3,11481,2,6,7,66,1552,3394,Yes
306,50,Female,Married,Operations,Manager,50922,34,18,3,4,Yes,8,6,3,5,2,21,4,High School,2,13257,4,4,5,36,1914,4869,No
307,47,Female,Single,Sales,Clerk,64028,3,17,2,3,No,42,2,1,2,2,2,3,Master's,4,19447,3,14,2,68,1867,5676,Yes
308,56,Male,Married,Finance,Analyst,141461,26,12,3,3,No,37,0,4,2,0,4,4,PhD,1,19713,2,12,3,71,712,5721,Yes
309,46,Female,Single,IT,Analyst,50316,8,4,1,4,No,9,9,2,4,1,1,1,Master's,3,7858,3,9,9,29,261,7690,No
310,45,Male,Divorced,IT,Executive,106996,6,12,1,1,No,25,2,4,3,1,15,4,High School,3,19524,1,1,13,12,755,7818,Yes
311,34,Female,Married,Sales,Executive,46968,16,15,2,1,Yes,25,8,1,1,0,33,4,Master's,1,16619,1,8,14,25,1058,2234,No
312,28,Male,Married,HR,Manager,60266,24,16,1,4,No,33,9,4,3,0,6,1,High School,3,7539,1,4,6,53,720,5140,Yes
313,57,Male,Single,HR,Analyst,125745,39,5,4,1,Yes,2,5,2,3,0,7,4,High School,1,8594,2,7,6,88,1558,10638,No
314,41,Female,Single,HR,Executive,54000,30,15,1,2,Yes,19,5,1,2,0,19,4,Master's,4,6903,3,12,7,39,1356,14897,No
315,22,Male,Married,IT,Clerk,44011,13,17,1,3,Yes,46,3,3,2,0,1,1,High School,3,8364,2,3,9,49,210,26583,No
316,29,Male,Single,HR,Executive,32866,5,18,1,2,No,20,7,4,2,2,39,1,High School,3,3449,3,13,18,74,1033,19383,Yes
317,37,Female,Married,Operations,Executive,142669,25,5,4,3,Yes,42,4,2,5,1,19,1,Bachelor's,1,7806,4,8,18,38,1355,19718,No
318,35,Male,Divorced,Finance,Analyst,35898,20,13,3,1,No,41,6,3,5,0,26,3,PhD,1,3869,2,9,1,39,849,10325,Yes
319,33,Female,Single,IT,Analyst,48395,18,19,1,1,No,42,8,2,1,2,12,1,High School,4,9079,1,6,14,41,808,12624,No
320,44,Female,Married,Sales,Engineer,69019,18,13,2,4,No,29,4,1,2,0,22,1,PhD,1,10307,4,1,0,19,372,26631,No
321,36,Female,Divorced,Sales,Clerk,133243,2,18,4,1,No,6,4,1,4,2,13,4,Bachelor's,1,6659,3,2,9,60,1721,23472,No
322,49,Male,Divorced,Finance,Analyst,34006,10,14,2,1,No,17,3,4,2,0,28,2,Bachelor's,4,6602,2,13,5,17,906,23863,Yes
323,55,Male,Married,IT,Manager,64393,12,4,1,4,Yes,25,5,2,5,1,14,2,Bachelor's,2,11584,3,1,12,60,140,8090,No
324,23,Male,Single,HR,Clerk,40956,13,4,2,4,Yes,38,1,2,2,0,22,3,Bachelor's,2,17385,3,4,9,45,659,13377,No
325,53,Female,Married,HR,Clerk,80042,11,19,1,3,No,4,2,2,5,0,30,3,PhD,1,13983,2,1,11,64,565,19495,Yes
326,44,Male,Divorced,Operations,Analyst,126199,19,13,4,1,Yes,30,0,1,2,1,20,2,Master's,4,8131,2,4,5,44,1200,29755,No
327,43,Female,Married,Operations,Clerk,36078,35,12,2,3,No,20,1,4,4,1,27,2,Master's,2,4358,3,12,5,45,1813,28099,No
328,46,Female,Single,HR,Analyst,59631,39,7,2,3,Yes,3,1,2,1,0,38,1,PhD,4,19771,3,8,0,65,589,16870,Yes
329,43,Male,Divorced,Sales,Executive,125676,26,12,1,2,Yes,23,7,2,4,1,34,4,High School,1,16603,4,1,11,45,1892,26719,Yes
330,43,Female,Married,Sales,Engineer,92901,14,4,1,1,Yes,18,7,3,5,1,39,1,PhD,1,19246,1,8,9,98,216,21300,Yes
331,27,Male,Single,Operations,Executive,137227,24,2,3,1,Yes,26,1,2,3,2,37,3,High School,4,11441,3,6,13,93,533,25183,No
332,36,Male,Divorced,Finance,Analyst,99497,1,2,1,2,Yes,36,5,4,4,1,1,2,High School,3,13219,1,6,14,70,1142,4103,Yes
333,58,Male,Single,HR,Analyst,124813,22,5,1,3,Yes,8,4,3,2,1,15,3,Master's,1,12720,4,13,3,71,1093,27195,No
334,54,Male,Divorced,Operations,Executive,147192,23,10,3,1,Yes,17,2,3,1,0,32,1,Bachelor's,1,12552,1,4,0,90,1694,28462,No
335,29,Male,Married,Operations,Manager,71574,19,10,1,3,Yes,31,4,3,2,0,8,3,Master's,1,14301,1,7,7,96,295,7125,Yes
336,26,Female,Single,HR,Manager,148494,18,9,1,2,Yes,37,4,1,2,2,33,3,Master's,1,12515,4,6,2,34,718,8590,Yes
337,25,Female,Divorced,HR,Manager,61417,12,13,3,4,Yes,45,4,3,4,0,18,4,PhD,4,3891,3,5,13,73,1574,12212,No
338,27,Female,Single,Sales,Analyst,118020,28,7,4,3,Yes,33,2,2,1,1,29,3,PhD,4,18085,1,1,16,69,524,11600,Yes
339,53,Male,Single,Finance,Clerk,113639,28,5,4,1,Yes,27,2,1,3,1,32,1,High School,4,7192,3,5,1,66,1517,4921,Yes
340,51,Male,Married,Finance,Analyst,95006,33,10,1,4,Yes,45,3,1,2,1,33,4,PhD,4,19128,3,13,14,79,1407,6734,No
341,56,Male,Single,HR,Clerk,124881,19,10,1,3,No,4,6,1,1,0,5,3,High School,3,13362,2,1,5,61,133,21757,Yes
342,37,Female,Divorced,IT,Executive,141862,28,6,3,3,Yes,22,1,1,3,1,18,1,High School,4,19708,3,0,4,65,394,25138,Yes
343,34,Male,Divorced,Operations,Engineer,69454,37,19,3,4,Yes,26,9,1,2,1,10,2,Bachelor's,4,12177,3,8,13,72,1106,18037,Yes
344,51,Female,Divorced,Operations,Clerk,31587,26,8,4,4,Yes,32,3,1,1,2,36,4,Bachelor's,1,9644,1,12,18,77,1374,2836,No
345,40,Female,Divorced,HR,Manager,138107,35,1,2,4,Yes,24,3,1,4,2,33,3,Master's,3,7782,3,4,8,29,1761,14094,Yes
346,38,Male,Married,IT,Analyst,145584,34,17,1,1,Yes,46,0,3,2,2,23,3,Bachelor's,1,13052,3,9,7,63,438,28161,Yes
347,40,Male,Single,Sales,Executive,84710,35,7,2,1,Yes,35,9,4,2,0,5,4,High School,3,6898,2,9,2,10,717,11028,No
348,49,Female,Married,HR,Manager,116567,16,14,2,3,No,37,7,2,1,1,34,1,PhD,2,7154,2,3,17,99,1563,12749,No
349,47,Male,Single,HR,Executive,121748,38,17,3,3,No,32,0,2,2,1,24,3,Bachelor's,3,5778,1,11,7,19,279,17432,No
350,58,Female,Single,Operations,Engineer,105886,13,9,1,2,No,7,7,3,3,1,17,1,Bachelor's,3,16809,1,10,15,32,721,13051,No
351,47,Male,Single,HR,Analyst,48816,23,17,1,1,Yes,33,6,3,2,2,31,4,Bachelor's,1,9409,2,7,14,60,1351,25091,Yes
352,44,Male,Married,HR,Analyst,115824,22,5,3,3,Yes,31,8,1,5,1,7,3,Bachelor's,3,15523,2,14,14,33,1756,17586,No
353,30,Female,Single,HR,Engineer,59432,16,8,2,4,Yes,12,7,4,3,1,17,2,High School,3,7313,4,4,15,22,718,7312,No
354,33,Male,Married,Operations,Analyst,139758,28,6,3,4,No,11,4,1,1,1,28,2,High School,1,10608,3,13,0,38,742,27973,Yes
355,22,Female,Divorced,Sales,Clerk,78617,35,11,4,1,Yes,24,7,3,3,1,38,2,Master's,2,16717,1,6,9,67,122,5822,No
356,22,Male,Divorced,Sales,Executive,102373,8,19,1,4,Yes,8,9,1,5,1,22,4,PhD,2,14864,1,2,18,52,1780,24537,No
357,55,Female,Single,HR,Manager,64217,22,4,4,2,No,32,2,2,5,0,15,3,Master's,2,14214,3,14,4,19,1450,13622,Yes
358,53,Female,Married,Operations,Engineer,50884,21,18,3,3,No,38,9,2,2,1,37,4,Master's,3,15876,3,7,17,40,1277,18099,No
359,46,Male,Divorced,Sales,Clerk,35454,26,1,1,3,Yes,22,6,1,2,0,15,3,Bachelor's,1,3916,1,7,2,83,718,19188,No
360,22,Female,Married,Sales,Manager,104960,21,13,4,3,Yes,34,3,4,4,1,25,2,PhD,2,12325,2,2,3,97,1269,3075,Yes
361,37,Male,Married,Sales,Manager,132421,25,14,4,1,Yes,19,4,1,3,0,21,2,Bachelor's,2,7007,2,8,3,23,351,16063,Yes
362,26,Male,Single,Operations,Engineer,137173,1,1,2,4,Yes,20,8,1,4,1,38,1,High School,2,6485,3,13,10,43,401,29216,Yes
363,43,Male,Divorced,Operations,Clerk,73618,6,11,1,2,No,14,6,4,5,1,2,4,Master's,2,13961,1,7,8,26,1193,29660,Yes
364,50,Female,Single,HR,Manager,113948,23,17,4,1,Yes,33,3,4,2,1,27,4,PhD,1,14908,3,0,0,30,1666,18383,Yes
365,24,Female,Single,Finance,Manager,92671,23,4,4,3,Yes,10,5,4,2,1,32,1,High School,2,6354,2,7,15,76,1216,11605,Yes
366,33,Male,Divorced,Sales,Clerk,77111,23,12,2,2,No,16,9,2,2,2,21,2,Master's,3,16509,4,11,8,67,1772,6452,Yes
367,47,Male,Divorced,Finance,Analyst,69613,32,10,4,3,Yes,4,6,1,1,1,4,2,PhD,3,10101,4,10,10,88,262,20047,Yes
368,37,Female,Married,Operations,Manager,115678,30,6,4,3,Yes,27,9,3,5,0,19,4,Master's,1,7743,2,14,5,17,1204,29551,Yes
369,58,Male,Divorced,Operations,Executive,132928,13,1,4,1,No,28,8,4,2,2,2,3,PhD,4,11951,3,3,16,47,1951,14298,Yes
370,43,Male,Married,Operations,Clerk,89993,18,7,2,3,No,43,3,4,5,2,26,2,Master's,2,10014,4,5,11,35,1711,14368,Yes
371,50,Female,Married,Finance,Manager,38848,23,16,4,2,Yes,16,9,1,2,1,34,1,Bachelor's,2,6412,2,13,7,73,1186,9428,Yes
372,35,Male,Married,Operations,Engineer,144853,15,14,4,3,No,33,2,3,3,0,14,1,Master's,3,12140,1,12,15,39,711,20437,No
373,49,Female,Divorced,HR,Executive,108672,33,6,1,4,No,48,7,1,5,0,15,1,Master's,1,13271,3,9,4,18,1559,17817,Yes
374,26,Male,Single,Operations,Manager,149279,21,5,1,3,Yes,19,0,1,4,2,20,4,PhD,4,11219,3,8,0,41,1171,4420,Yes
